"pcon19cd","ConstituencyName","Con19","Lab19","Con17","Lab17","Con15","Lab15","Leave","Remain","hc1","hc2","hc3","hc4","oc1","oc2","oc3","ca1","ca2","ca3","ns1","ns2","ns3","ns4","he1","he2","he3","qu1","qu2","qu3","de1","de2","de3","ag1","ag2","ag3","ag4"
"E14000812","Meriden",63.4367903103709,21.2736101622939,61.9896418571455,26.8561389381989,54.7326198125582,19.0027184761325,58.80843468,41.19156532,68.6808189702979,20.7559725826845,9.13688693684701,1.42632151017058,35.5537809720281,8.47585457287993,44.0118897096338,22.2310951398594,38.5971917215678,39.1717131385728,42.0519380836638,20.5743891518485,25.1503134194704,5.50083152104388,47.5147649202184,33.8995150986955,18.5857199810861,39.4245983622651,19.3282746035596,37.4923483824769,43.2998380692531,31.7472993056942,24.9528626250527,22.5808246103637,8.27669970423802,44.4403237620182,24.70215192338
"W07000071","Merthyr Tydfil and Rhymney",19.5590150716368,52.4499162686845,18.1040393501267,66.7968400655835,10.0626623872841,53.8560293443375,58.35433883,41.64566117,64.4154515221284,22.4961627014582,11.2560757226912,1.83231005372218,32.6266308518803,10.6229214632898,45.8429265796879,30.3434382194935,43.3518802762855,26.304681504221,26.6907253699026,20.4348610609888,37.8094550703717,8.10537712017322,43.3235841531508,28.8141451741558,27.8622706726934,50.27012867948,18.699453194067,26.4054877050522,29.5152212842159,30.2475057559478,40.2372729598363,21.5687317202872,9.16644509438979,46.0515820260569,23.2132411592661
"E14000819","Middlesbrough",25.8439158870282,50.4648502800833,26.7446754777338,65.6733170581138,16.4740414602825,56.8213783403657,66.08364664,33.91635336,52.9419395008561,24.0543765890105,20.5987651118145,2.40491879831889,26.5371244746537,9.94655736003736,53.875888548747,42.9175530534945,39.2543973434338,17.8280496030717,22.6663345592006,17.4092687286633,33.737234619273,12.6122694172979,44.5054067011133,32.9526447557663,22.5419485431204,45.3443903224508,18.7123438401567,30.2832682527542,31.258755772324,33.2278316816271,35.5134125460489,23.317530495925,13.311671016886,44.5416289351729,18.8291695520162
"E14000820","Middlesbrough South and East Cleveland",58.8389066649936,34.5253780036389,49.6493070138597,47.5073498530029,37.0536593909407,42.0189592136086,65.26552985,34.73447015,67.5605363217931,19.0914548729238,11.6244746848109,1.72353412047228,35.2336401841105,9.79587752651591,43.3835301180708,25.3877326395837,42.2628577146288,32.3494096457875,33.9189388356669,21.9749447310243,30.7044952100221,6.87840825350037,45.0132505978928,33.2331458858509,21.7536035162562,39.2997187784687,21.7213926407098,35.0510291651813,41.2022213327997,31.3087852711627,27.4889933960376,21.0382866869196,8.02253678926163,45.0821967983108,25.8569797255079
"S14000045","Midlothian",21.7063105286079,29.7131954957384,25.4478386676385,36.3527930554635,11.9178167221866,30.195940493679,37.94096947,62.05903053,64.5920292755446,26.6367430956601,7.37034707530448,1.40088055349077,37.8838126822574,10.1177883240894,41.4146034650352,24.8327520155526,44.0133798387558,31.1538681456916,34.8295426834225,24.3582448667718,30.6546796507942,4.18949456194827,52.9000925625398,30.0034861216296,17.0964213158306,55.9022845643939,14.5004734848485,29.5972419507576,39.3075647549889,33.606838584253,27.0855966607582,21.311022154904,8.18036472044911,46.8318367052544,23.6767764193925
"E14000821","Milton Keynes North",49.4667668643973,39.4656476344275,47.5048495087917,44.4152431011827,47.223185190321,30.3178950287735,49.66509051,50.33490949,58.2310796343572,16.9130363172198,18.9306596392984,5.9252244091246,36.4716297455324,11.5375113233962,42.9527299678827,19.2580087293091,42.8044964176892,37.9374948530017,42.9919962597264,21.4364431778968,23.7674351296294,4.81894181425534,50.1888372551273,35.2534524376427,14.55771030723,32.3881701710676,19.8776152699449,41.0166063777664,47.1341513629251,32.3025611463395,20.5632874907354,23.7097489285538,7.91556511601176,51.6092218263026,16.7654641291318
"E14000822","Milton Keynes South",50.0117174684019,39.1629040573687,47.5327978165803,44.8577985919424,46.8218290386605,32.1108076472883,53.08140404,46.91859596,57.2442613772695,19.0914180596657,15.7382228265216,7.92609773654323,37.6189714468528,11.4872430616652,42.1518835479485,18.5995361113333,43.6735183555947,37.7269455330721,41.5152044739602,22.1174851450542,24.7695298846557,4.8901170919259,50.1460365445628,34.5134345748408,15.3405288805964,35.4608110602859,20.2385592090419,38.4094685237226,46.3728705110773,31.9683276013757,21.658801887547,25.8638199381214,7.54587751824473,50.6404351967754,15.9498673468585
"E14000823","Mitcham and Morden",25.1022058984281,61.1355239282045,24.2404089945551,68.66245479862,23.1668955739666,60.6530503743742,44.68652381,55.31347619,56.1479088134985,20.1605251686027,21.7375695566326,1.95399646126625,30.5536323306921,8.26217401338564,50.393620022053,35.2796368951458,45.7778803497705,18.9424827550837,38.7757769007606,19.5251038916913,22.5582185515277,8.0382112333708,47.1112703053302,36.2165772812639,16.6721524134059,33.0768197197894,15.6412229591899,38.7946303150231,36.1489345334256,36.1207272354284,27.730338231146,23.3992913705977,9.50163604329222,52.0765164862824,15.0225560998277
"E14000824","Mole Valley",55.4298721765015,5.19173524776747,61.8622853717872,13.863131544618,60.6347479143997,8.27892636924193,47.31132761,52.68867239,73.6063047816313,11.823991512794,12.0765869307131,2.4931167748617,39.9757508398798,8.13104650281644,38.6748844375963,11.1546136553083,37.2931875015787,51.552198843113,57.7402095892228,18.6802658923755,14.9910828776512,2.56901557917078,52.1976576557617,33.3673566024434,14.434985741795,27.0249311775426,18.845075155416,49.8998358600545,54.5454545454545,30.5539417514966,14.9006037030488,21.2073700714489,6.01475277009039,45.1380046931066,27.6398724653541
"W07000054","Monmouth",52.0939124200968,32.2161817711134,53.1045160252544,36.6047372019142,49.9367915384939,26.798280729847,48.06450827,51.93549173,73.4763803853283,13.6999382126608,11.0149974723361,1.80868392967477,37.0752120429141,8.58282311969893,40.1786215806325,15.9439420322418,40.6223670167949,43.4336909509633,49.1081946541454,17.8643128536112,23.0542051733006,3.60538235635712,45.9317115115904,33.4897830007285,20.5785054876811,33.0426370579997,18.807663985908,44.4664231363433,45.4951412683256,32.5759703420772,21.9288883895973,20.1258762972783,6.69270180215686,43.3222266012205,29.8591952993443
